day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20230630,86049088,0,r,R,210.90654090266722,54.30818923882963,21.088897705078125,27.090280532836914,242.3704833984375,14.0151948928833,2.1020827293395996,66.6300277709961,12,0.017359158024191856,0.010524719022214413,30.0,10.0,12.0,2.101335835459476,13.0,14.0,16.0,16.0,0.0,14.0
20230630,86049089,0,r,R,210.90649865023224,54.308251747670845,21.19651985168457,27.08625030517578,238.06884765625,13.82229995727539,1.9673712253570557,58.46955108642578,14,0.01798480935394764,0.010144193656742573,30.0,10.0,17.0,1.9659156365376003,15.0,16.0,16.0,16.0,0.0,16.0
20230630,86049090,0,i,I,210.90668124151634,54.30818099280093,21.344863891601562,26.73167610168457,173.18508911132812,12.399818420410156,1.9334782361984253,56.8095588684082,14,0.01941538415849209,0.011990505270659924,30.0,10.0,14.0,1.9329293579719065,15.0,16.0,19.0,19.0,0.0,17.0
20230630,86049091,0,i,I,210.9065948107509,54.308186019446964,21.454622268676758,26.679649353027344,166.31903076171875,12.405244827270508,2.4119577407836914,87.17189025878906,11,0.025391705334186554,0.009856471791863441,30.0,10.0,21.0,2.4099102913901955,12.0,14.0,15.0,15.0,0.0,13.0
20230630,86049092,0,i,I,210.90658328691472,54.30821872807216,21.56524658203125,26.73154067993164,164.58827209472656,12.215499877929688,1.8604686260223389,52.097450256347656,15,0.014191024005413055,0.008279376663267612,30.0,10.0,16.0,1.8612332337368673,16.0,17.0,19.0,19.0,0.0,19.0
20230630,86049093,0,i,I,210.9066136678498,54.308244738615805,21.676742553710938,26.742136001586914,161.91336059570312,12.072992324829102,1.927296757698059,55.76514434814453,13,0.016970757395029068,0.010263437405228615,30.0,10.0,7.0,1.9263925817017724,15.0,16.0,16.0,16.0,1.0,16.0
20230630,86049094,0,i,I,210.90667398674614,54.30819317110392,21.78901481628418,26.73082733154297,158.41770935058594,12.132195472717285,2.1671080589294434,70.71974182128906,10,0.023596785962581635,0.014453135430812836,30.0,10.0,12.0,2.1661247874624356,11.0,11.0,17.0,17.0,0.0,12.0
20230630,86049107,0,r,R,210.90280857590477,54.30842166943298,32.289466857910156,25.86847686767578,78.23013305664062,9.027565002441406,1.5992971658706665,42.38703155517578,10,0.02413812465965748,0.011538473889231682,10.0,11.0,8.0,1.5982684390711652,11.0,12.0,15.0,15.0,0.0,12.0
20230630,86049116,0,r,R,210.79890540088323,54.33469977816524,34.79768753051758,26.769664764404297,239.84884643554688,13.866389274597168,1.7988029718399048,45.84055709838867,11,2.5430026140416118e-11,2.678481221540796e-11,30.0,3.0,12.0,1.791396999912505,14.0,2.0,16.0,16.0,2.0,16.0
20230630,86049117,0,r,R,210.9032708347607,54.30849661897193,34.88343811035156,27.064884185791016,240.34361267089844,13.848752975463867,1.8632373809814453,53.18429946899414,11,0.017917782068252563,0.004173140041530132,30.0,7.0,11.0,1.860580237879204,12.0,13.0,14.0,14.0,2.0,13.0
