target,day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
2023ixf,20230626,86008113,0,r,R,210.91567128330183,54.30009629188787,31.771488189697266,25.83027458190918,37.51953125,7.290060997009277,2.338906764984131,84.88615417480469,8,0.018147487193346024,0.00976693257689476,10.0,6.0,8.0,2.338444443811146,9.0,9.0,9.0,9.0,0.0,11.0
2023ixf,20230626,86008122,0,r,R,210.9155809590473,54.29995755207885,33.74516296386719,26.99985122680664,110.36454772949219,10.068835258483887,2.14821720123291,76.12200164794922,11,0.017508499324321747,0.012583236210048199,30.0,8.0,15.0,2.1406047098488115,12.0,12.0,15.0,15.0,0.0,13.0
2023ixf,20230626,86008123,0,r,R,210.9155702056691,54.29995966732835,33.89471435546875,27.03110694885254,111.08013153076172,10.086491584777832,2.1781365871429443,75.4484634399414,12,0.021050812676548958,0.011404349468648434,30.0,8.0,7.0,2.177081562497022,14.0,14.0,12.0,12.0,0.0,15.0
2023ixf,20230626,86008124,0,r,R,210.91557918418775,54.30000610249858,34.044403076171875,27.027151107788086,110.36726379394531,10.109612464904785,2.1684160232543945,79.88640594482422,10,0.017287764698266983,0.007780072744935751,30.0,8.0,14.0,2.1687935183117064,12.0,13.0,11.0,11.0,0.0,14.0
2023ixf,20230626,86008125,0,r,R,210.91555332309565,54.3000090987489,34.19425964355469,26.998106002807617,109.988037109375,10.11798095703125,2.2421388626098633,80.3232650756836,12,0.017946645617485046,0.008982689119875431,30.0,8.0,14.0,2.23380735556714,13.0,13.0,14.0,14.0,0.0,13.0
2023ixf,20230626,86008126,0,r,R,210.91559041284464,54.30003328101669,34.34419631958008,27.029495239257812,110.14759826660156,10.093162536621094,2.2175004482269287,76.93579864501953,12,0.011963678523898125,0.005259768106043339,30.0,8.0,28.0,2.2143514417150376,14.0,14.0,13.0,13.0,0.0,16.0
2023ixf,20230626,86008127,0,i,I,210.9149688959007,54.4023731073902,34.866737365722656,24.974342346191406,111.5250244140625,10.357032775878906,2.3897125720977783,86.25340270996094,9,4.629833322278287e-11,2.0263558192512576e-11,30.0,3.0,17.0,2.377739551253933,13.0,2.0,10.0,10.0,0.0,14.0
2023ixf,20230626,86008128,0,i,I,210.91568124521964,54.29993766211351,34.998435974121094,26.68899154663086,110.44066619873047,10.1906156539917,2.156259536743164,74.79784393310547,12,0.040148962289094925,0.025611262768507004,30.0,8.0,15.0,2.1529477841404,14.0,14.0,13.0,13.0,0.0,15.0
2023ixf,20230626,86008129,0,i,I,210.9157030034894,54.299951888776945,35.1490478515625,26.685331344604492,110.00581359863281,10.208479881286621,2.0870728492736816,74.3232421875,10,0.008647319860756397,0.0037476050201803446,30.0,8.0,6.0,2.080784577766412,12.0,12.0,13.0,13.0,0.0,13.0
2023ixf,20230626,86008130,0,i,I,210.91568552723555,54.3000059911821,35.2997932434082,26.68739128112793,110.86312866210938,10.283337593078613,2.1021437644958496,71.97420501708984,13,0.015319743193686008,0.0100486995652318,30.0,8.0,14.0,2.1020541707895743,14.0,14.0,14.0,14.0,0.0,15.0
2023ixf,20230626,86008131,0,i,I,210.91570496171101,54.29995948795001,35.450599670410156,26.69403648376465,111.35369873046875,10.325014114379883,2.1048495769500732,70.58551025390625,12,0.012181436643004417,0.004464249592274427,30.0,8.0,12.0,2.1026847274046716,14.0,14.0,13.0,13.0,0.0,15.0
2023ixf,20230626,86008140,0,r,R,210.9155365412711,54.29996491541081,37.77177047729492,27.005807876586914,111.91278076171875,10.025226593017578,2.5046539306640625,93.72344970703125,10,0.03267323970794678,0.00940509233623743,30.0,6.0,14.0,2.498045484163082,11.0,11.0,11.0,11.0,0.0,11.0
2023ixf,20230626,86008141,0,r,R,210.91564592589478,54.30000392295386,37.923919677734375,26.992359161376953,112.03404235839844,10.098443984985352,2.6178336143493652,98.44847869873047,10,0.019301535561680794,0.013673127628862858,30.0,6.0,18.0,2.6160254036074075,11.0,11.0,11.0,11.0,0.0,12.0
2023ixf,20230626,86008142,0,r,R,210.9156025447749,54.30004538741426,38.076107025146484,26.989713668823242,112.63014221191406,10.111673355102539,2.5349161624908447,94.48360443115234,11,0.038315534591674805,0.0214433241635561,30.0,8.0,7.0,2.5320992413158883,12.0,12.0,12.0,12.0,0.0,12.0
2023ixf,20230626,86008143,0,r,R,210.9155518296272,54.30003570585346,38.22840881347656,27.017417907714844,112.69023895263672,10.103446960449219,2.5458731651306152,95.6038589477539,11,0.01879529282450676,0.008245480246841908,30.0,8.0,12.0,2.540801760561797,12.0,12.0,13.0,13.0,0.0,13.0
2023ixf,20230626,86008144,0,r,R,210.91561207118076,54.30000914220138,38.38068389892578,27.008317947387695,112.23200225830078,10.099313735961914,2.9199860095977783,115.19196319580078,7,0.016250930726528168,0.004109415225684643,30.0,6.0,19.0,2.915797479774669,9.0,9.0,9.0,9.0,0.0,9.0
2023ixf,20230626,86008145,0,i,I,210.91578114066087,54.29999691021228,38.55879211425781,26.677515029907227,109.76693725585938,10.25072956085205,2.678056001663208,101.69734954833984,10,0.019152751192450523,0.009297293610870838,30.0,8.0,12.0,2.6824905401750807,12.0,12.0,11.0,11.0,0.0,12.0
2023ixf,20230626,86008146,0,i,I,210.91576487978904,54.30005554150949,38.711219787597656,26.667137145996094,109.36485290527344,10.237504959106445,2.803947687149048,109.04800415039062,10,0.01699075475335121,0.007042381912469864,30.0,7.0,6.0,2.804095365863797,12.0,12.0,10.0,10.0,0.0,12.0
2023ixf,20230626,86008147,0,i,I,210.9157488042764,54.30004712756455,38.86369705200195,26.666736602783203,107.16288757324219,9.919642448425293,2.9005889892578125,116.83113861083984,8,0.03588417172431946,0.023121725767850876,30.0,8.0,8.0,2.896311747144804,10.0,11.0,9.0,9.0,1.0,11.0
2023ixf,20230626,86008148,0,i,I,210.9157233730059,54.30004781130857,39.016212463378906,26.67280387878418,108.38287353515625,10.193729400634766,2.6591389179229736,104.50888061523438,10,0.010651947930455208,0.003348945640027523,30.0,8.0,12.0,2.6460286756277878,11.0,11.0,12.0,12.0,0.0,12.0
2023ixf,20230626,86008149,0,i,I,210.87587356058435,54.43418068729214,39.20036315917969,25.41653823852539,107.75048828125,10.255846977233887,2.620567560195923,102.41283416748047,9,5.598968164099993e-11,3.208932425335931e-11,30.0,3.0,14.0,2.5970156616507514,11.0,3.0,10.0,10.0,0.0,12.0
2023ixf,20230626,86008152,0,r,R,210.9305912583222,54.30443253132489,44.565887451171875,25.804832458496094,31.498018264770508,6.884244441986084,1.8051832914352417,51.97832107543945,7,0.03269415721297264,0.014497905969619751,10.0,10.0,12.0,1.804048131576204,11.0,12.0,9.0,9.0,0.0,13.0
2023ixf,20230626,86008161,0,r,R,210.92826538938343,54.29946046681832,47.76326370239258,26.983760833740234,86.38626098632812,9.246655464172363,2.2356297969818115,76.95580291748047,10,0.012986279092729092,0.005144099704921246,30.0,9.0,10.0,2.231281649970299,12.0,12.0,15.0,15.0,0.0,14.0
2023ixf,20230626,86008162,0,r,R,210.92819823109866,54.299465446031284,47.91455078125,26.959228515625,86.00714111328125,9.349692344665527,2.465867280960083,92.51239776611328,8,0.023654596880078316,0.01100903656333685,30.0,9.0,18.0,2.4608886441266935,9.0,9.0,14.0,14.0,0.0,11.0
2023ixf,20230626,86008163,0,r,R,210.92820989889577,54.29947786439117,48.06571578979492,26.978984832763672,86.82217407226562,9.469414710998535,2.4170620441436768,87.93109893798828,9,0.037844449281692505,0.022856861352920532,30.0,8.0,16.0,2.4138306497180113,10.0,11.0,13.0,13.0,0.0,12.0
2023ixf,20230626,86008164,0,r,R,210.9282116064126,54.29944530626271,48.21681594848633,26.920866012573242,85.51641845703125,9.383999824523926,2.3294005393981934,82.81074523925781,12,0.021135732531547546,0.014506311155855656,30.0,9.0,11.0,2.316699029108037,13.0,13.0,15.0,15.0,0.0,13.0
2023ixf,20230626,86008165,0,r,R,210.92810282828015,54.29950110214233,48.367916107177734,26.966297149658203,86.74272155761719,9.403709411621094,2.339486598968506,82.73516845703125,12,0.021228546276688576,0.013976313173770905,30.0,9.0,16.0,2.3307997222267463,13.0,13.0,15.0,15.0,0.0,13.0
2023ixf,20230626,86008166,0,i,I,210.92835116142638,54.29943513619014,48.5598258972168,26.68494415283203,96.13015747070312,9.8427095413208,2.629554271697998,106.01338958740234,7,0.024334006011486053,0.01653103530406952,30.0,8.0,23.0,2.61438843724252,8.0,7.0,13.0,13.0,0.0,10.0
2023ixf,20230626,86008167,0,i,I,210.92839540276682,54.2994787173942,48.71064376831055,26.715879440307617,96.82319641113281,9.820844650268555,2.3064064979553223,80.1031723022461,9,0.01668812520802021,0.011837962083518505,30.0,8.0,20.0,2.296746366466697,10.0,9.0,14.0,14.0,0.0,11.0
2023ixf,20230626,86008168,0,i,I,210.92839771656338,54.29946318589571,48.86141586303711,26.681636810302734,96.69761657714844,9.868074417114258,2.530982732772827,95.4856948852539,7,0.017796961590647697,0.00832630880177021,30.0,8.0,10.0,2.5239946602754224,8.0,7.0,12.0,12.0,1.0,8.0
2023ixf,20230626,86008169,0,i,I,210.9283408325663,54.29946146898453,49.012123107910156,26.7020263671875,97.07865905761719,9.844111442565918,2.2937889099121094,81.07881164550781,8,0.01082916371524334,0.008237305097281933,30.0,8.0,18.0,2.2837152599935706,10.0,10.0,12.0,12.0,0.0,11.0
2023ixf,20230626,86008170,0,i,I,210.92835827833974,54.299493571326764,49.16269302368164,26.6755428314209,97.4283447265625,9.88810920715332,2.3980917930603027,87.7528076171875,8,0.01847267709672451,0.007065289653837681,30.0,7.0,12.0,2.3863107206990124,9.0,8.0,14.0,14.0,1.0,10.0
2023ixf,20230630,86049076,0,r,R,210.90679986457477,54.308173962389375,19.262922286987305,25.860380172729492,233.91961669921875,12.87272834777832,2.445451021194458,79.14525604248047,8,0.0375281423330307,0.022657735273241997,10.0,9.0,9.0,2.4433703242582676,10.0,10.0,8.0,8.0,0.0,11.0
2023ixf,20230630,86049085,0,r,R,210.90647097404394,54.308188243621984,20.771976470947266,27.094480514526367,259.09661865234375,13.964394569396973,3.6360039710998535,169.20156860351562,6,0.026569673791527748,0.006205461919307709,30.0,5.0,14.0,3.6434907138923234,8.0,9.0,7.0,7.0,0.0,8.0
2023ixf,20230630,86049086,0,r,R,210.90648448196873,54.30824532612984,20.87669563293457,27.09865951538086,251.5552520751953,14.105278015136719,1.9262701272964478,56.69712829589844,14,0.01839641109108925,0.006275850348174572,30.0,10.0,11.0,1.9242008525597218,15.0,16.0,18.0,18.0,0.0,16.0
2023ixf,20230630,86049087,0,r,R,210.83970383962776,54.370717776259184,21.05437469482422,24.553306579589844,245.70980834960938,14.321017265319824,2.308610677719116,68.10315704345703,9,5.753062956581623e-11,3.4353429823053006e-11,30.0,3.0,13.0,2.3090991733912194,10.0,2.0,12.0,12.0,0.0,12.0
2023ixf,20230630,86049088,0,r,R,210.90654090266722,54.30818923882963,21.088897705078125,27.090280532836914,242.3704833984375,14.0151948928833,2.1020827293395996,66.6300277709961,12,0.017359158024191856,0.010524719022214413,30.0,10.0,12.0,2.101335835459476,13.0,14.0,16.0,16.0,0.0,14.0
2023ixf,20230630,86049089,0,r,R,210.90649865023224,54.308251747670845,21.19651985168457,27.08625030517578,238.06884765625,13.82229995727539,1.9673712253570557,58.46955108642578,14,0.01798480935394764,0.010144193656742573,30.0,10.0,17.0,1.9659156365376003,15.0,16.0,16.0,16.0,0.0,16.0
2023ixf,20230630,86049090,0,i,I,210.90668124151634,54.30818099280093,21.344863891601562,26.73167610168457,173.18508911132812,12.399818420410156,1.9334782361984253,56.8095588684082,14,0.01941538415849209,0.011990505270659924,30.0,10.0,14.0,1.9329293579719065,15.0,16.0,19.0,19.0,0.0,17.0
2023ixf,20230630,86049091,0,i,I,210.9065948107509,54.308186019446964,21.454622268676758,26.679649353027344,166.31903076171875,12.405244827270508,2.4119577407836914,87.17189025878906,11,0.025391705334186554,0.009856471791863441,30.0,10.0,21.0,2.4099102913901955,12.0,14.0,15.0,15.0,0.0,13.0
2023ixf,20230630,86049092,0,i,I,210.90658328691472,54.30821872807216,21.56524658203125,26.73154067993164,164.58827209472656,12.215499877929688,1.8604686260223389,52.097450256347656,15,0.014191024005413055,0.008279376663267612,30.0,10.0,16.0,1.8612332337368673,16.0,17.0,19.0,19.0,0.0,19.0
2023ixf,20230630,86049093,0,i,I,210.9066136678498,54.308244738615805,21.676742553710938,26.742136001586914,161.91336059570312,12.072992324829102,1.927296757698059,55.76514434814453,13,0.016970757395029068,0.010263437405228615,30.0,10.0,7.0,1.9263925817017724,15.0,16.0,16.0,16.0,1.0,16.0
2023ixf,20230630,86049094,0,i,I,210.90667398674614,54.30819317110392,21.78901481628418,26.73082733154297,158.41770935058594,12.132195472717285,2.1671080589294434,70.71974182128906,10,0.023596785962581635,0.014453135430812836,30.0,10.0,12.0,2.1661247874624356,11.0,11.0,17.0,17.0,0.0,12.0
2023ixf,20230630,86049107,0,r,R,210.90280857590477,54.30842166943298,32.289466857910156,25.86847686767578,78.23013305664062,9.027565002441406,1.5992971658706665,42.38703155517578,10,0.02413812465965748,0.011538473889231682,10.0,11.0,8.0,1.5982684390711652,11.0,12.0,15.0,15.0,0.0,12.0
2023ixf,20230630,86049116,0,r,R,210.79890540088323,54.33469977816524,34.79768753051758,26.769664764404297,239.84884643554688,13.866389274597168,1.7988029718399048,45.84055709838867,11,2.5430026140416118e-11,2.678481221540796e-11,30.0,3.0,12.0,1.791396999912505,14.0,2.0,16.0,16.0,2.0,16.0
2023ixf,20230630,86049117,0,r,R,210.9032708347607,54.30849661897193,34.88343811035156,27.064884185791016,240.34361267089844,13.848752975463867,1.8632373809814453,53.18429946899414,11,0.017917782068252563,0.004173140041530132,30.0,7.0,11.0,1.860580237879204,12.0,13.0,14.0,14.0,2.0,13.0
2023ixf,20230630,86049118,0,r,R,210.90327039284432,54.3084824941344,35.03392791748047,27.06807518005371,241.40396118164062,14.07359504699707,1.944421410560608,50.49505615234375,8,0.00895838625729084,0.00408177450299263,30.0,4.0,16.0,1.9427170562839968,12.0,13.0,13.0,13.0,2.0,13.0
2023ixf,20230630,86049119,0,r,R,210.88027807315632,54.37732076263717,35.20940399169922,26.831218719482422,241.9461669921875,14.049749374389648,1.9213097095489502,54.23210525512695,9,2.899332510186703e-11,5.021791316117685e-11,30.0,3.0,17.0,1.9213792054083214,12.0,1.0,13.0,13.0,2.0,13.0
2023ixf,20230630,86049120,0,r,R,210.9031918964333,54.3084841458756,35.33528518676758,27.0670166015625,241.99465942382812,14.124917030334473,1.9234402179718018,53.127689361572266,9,0.01806221902370453,0.009169256314635277,30.0,9.0,13.0,1.9221400855795554,11.0,12.0,14.0,14.0,2.0,12.0
2023ixf,20230630,86049121,0,i,I,210.903324409277,54.30843263289751,35.6118049621582,26.992097854614258,224.0895538330078,13.556123733520508,1.7738516330718994,47.9646110534668,13,0.018307097256183624,0.006277407053858042,40.0,10.0,22.0,1.762683038275014,15.0,16.0,19.0,19.0,2.0,17.0
2023ixf,20230630,86049122,0,i,I,210.9033439030361,54.30846413668405,35.786949157714844,26.998640060424805,229.58880615234375,13.684279441833496,1.8042649030685425,50.33156967163086,11,0.021599916741251945,0.011545384302735329,40.0,8.0,13.0,1.7967349654343516,12.0,13.0,17.0,17.0,2.0,13.0
2023ixf,20230630,86049123,0,i,I,210.90347078400308,54.308470184375665,35.962196350097656,27.017955780029297,229.32708740234375,13.690382957458496,1.8997201919555664,54.25513458251953,12,0.010316130705177784,0.006116378586739302,40.0,8.0,15.0,1.8988011492711332,15.0,16.0,16.0,16.0,2.0,17.0
2023ixf,20230630,86049124,0,i,I,210.9033780253064,54.3084487949067,36.137664794921875,27.03191566467285,228.7290802001953,14.051492691040039,1.9884543418884277,59.43488693237305,11,0.02078229933977127,0.01144388411194086,40.0,9.0,10.0,1.985942140826225,14.0,16.0,16.0,16.0,2.0,17.0
2023ixf,20230630,86049125,0,i,I,210.90340609418126,54.308471632837225,36.31321716308594,26.977571487426758,229.46267700195312,13.86964225769043,1.8408348560333252,50.876468658447266,11,0.016136284917593002,0.00642411457374692,40.0,8.0,22.0,1.8360474393421626,14.0,15.0,19.0,18.0,2.0,16.0
2023ixf,20230630,86049126,0,i,I,210.9034037258613,54.30848835607216,36.4888801574707,27.023670196533203,229.37901306152344,13.647102355957031,1.86836838722229,52.888824462890625,12,0.011043923906981945,0.004070491064339876,40.0,9.0,18.0,1.86317391826342,16.0,17.0,17.0,17.0,2.0,18.0
2023ixf,20230704,86090049,0,r,R,210.90838249003193,54.30735705427363,21.08941650390625,25.89445686340332,136.08995056152344,10.326562881469727,1.8939642906188965,61.46860885620117,8,0.020868241786956787,0.01339237205684185,10.0,10.0,6.0,1.8970884012503773,10.0,10.0,10.0,10.0,1.0,11.0
2023ixf,20230704,86090058,0,r,R,210.90841988456793,54.307226109689395,23.071428298950195,27.396678924560547,302.69354248046875,15.720860481262207,2.3177011013031006,87.40108489990234,9,0.01846225932240486,0.0058586131781339645,40.0,10.0,18.0,2.3149045640626813,11.0,10.0,15.0,15.0,0.0,11.0
2023ixf,20230704,86090059,0,r,R,210.90842955916122,54.307242581615824,23.212509155273438,27.39708137512207,297.71533203125,15.350456237792969,2.2285850048065186,82.8689193725586,10,0.018302470445632935,0.008776216767728329,40.0,10.0,18.0,2.2325139195440755,11.0,13.0,13.0,13.0,1.0,13.0
2023ixf,20230704,86090060,0,r,R,210.908377925526,54.30720919101235,23.354490280151367,27.382612228393555,298.8774719238281,15.280942916870117,2.409027576446533,95.22254180908203,11,0.0211529191583395,0.0011285198852419853,40.0,10.0,13.0,2.416172932137377,12.0,14.0,13.0,13.0,1.0,14.0
2023ixf,20230704,86090061,0,r,R,210.90831715099108,54.3072460333081,23.497438430786133,27.3791446685791,304.68115234375,15.888652801513672,2.6052968502044678,100.60472106933594,10,0.023630520328879356,0.009804774075746536,40.0,10.0,16.0,2.6024770431639945,11.0,12.0,14.0,14.0,2.0,13.0
2023ixf,20230704,86090062,0,r,R,210.90850946858592,54.30724541538418,23.641111373901367,27.387359619140625,303.6810607910156,15.47165298461914,2.478353977203369,95.9871597290039,12,0.023631475865840912,0.009845738299190998,40.0,10.0,23.0,2.476978981554434,13.0,14.0,15.0,15.0,0.0,14.0
2023ixf,20230704,86090063,0,i,I,210.9084956206519,54.307199061147855,23.83386993408203,27.057641983032227,217.89088439941406,13.47903823852539,2.229433536529541,81.63560485839844,11,0.021443188190460205,0.009159451350569725,40.0,10.0,14.0,2.2248020022746355,12.0,12.0,16.0,16.0,0.0,13.0
2023ixf,20230704,86090064,0,i,I,210.90845594996918,54.30722757532603,23.979740142822266,27.023244857788086,218.0671844482422,13.614358901977539,2.555842638015747,97.01577758789062,11,0.03191561996936798,0.01026244554668665,40.0,10.0,18.0,2.555628239232591,13.0,13.0,14.0,14.0,2.0,13.0
2023ixf,20230704,86090065,0,i,I,210.90853742165567,54.307189517463186,24.126256942749023,27.060178756713867,216.0076141357422,13.54592514038086,2.3935930728912354,86.2623062133789,10,0.01692429557442665,0.009860462509095669,40.0,10.0,14.0,2.3870313742870604,12.0,12.0,16.0,16.0,0.0,13.0
2023ixf,20230704,86090066,0,i,I,210.90856280937751,54.30719232207907,24.273672103881836,27.02446937561035,215.28683471679688,13.525197982788086,2.3695852756500244,89.71172332763672,10,0.02497725561261177,0.011671009473502636,40.0,10.0,13.0,2.3655707449090806,11.0,11.0,15.0,15.0,0.0,12.0
2023ixf,20230704,86090067,0,i,I,210.9083796111748,54.30713393851158,24.421905517578125,27.01370620727539,216.2187042236328,13.492341995239258,2.5406699180603027,100.9059829711914,10,0.02098415233194828,0.0062615154311060905,40.0,10.0,25.0,2.5379823031536475,12.0,12.0,14.0,14.0,0.0,12.0
2023ixf,20230704,86090085,0,r,R,210.900664921295,54.30949073619543,36.921451568603516,27.401748657226562,438.56353759765625,18.18227767944336,2.300175189971924,76.33712768554688,7,0.019311975687742233,0.007904929108917713,40.0,8.0,19.0,2.302953817316838,10.0,10.0,10.0,10.0,2.0,11.0
2023ixf,20230704,86090086,0,r,R,210.9007760511505,54.309486014274455,37.097408294677734,27.405521392822266,440.98150634765625,18.232833862304688,2.068626642227173,66.04359436035156,9,0.01958933286368847,0.010472377762198448,40.0,8.0,24.0,2.06667377644975,11.0,13.0,11.0,11.0,2.0,13.0
2023ixf,20230704,86090087,0,r,R,210.9006860609204,54.30947663420114,37.27358627319336,27.402368545532227,441.29107666015625,18.223814010620117,2.286365270614624,77.7221908569336,8,0.017729688435792923,0.010668931528925896,40.0,7.0,14.0,2.2889726836644817,10.0,11.0,9.0,9.0,1.0,11.0
2023ixf,20230704,86090088,0,r,R,210.90068570040583,54.309493813378666,37.44981002807617,27.39121437072754,442.50494384765625,18.232545852661133,2.2815628051757812,77.27931213378906,9,0.017782747745513916,0.011955752968788147,40.0,8.0,15.0,2.2757009719435586,11.0,12.0,11.0,11.0,2.0,12.0
2023ixf,20230704,86090089,0,r,R,210.9007154317695,54.30947276844549,37.6260871887207,27.37371063232422,446.60260009765625,18.307321548461914,2.398369073867798,90.32740020751953,5,0.011644347570836544,0.0031786307226866484,40.0,7.0,17.0,2.3996622556536784,7.0,9.0,10.0,10.0,3.0,9.0
2023ixf,20230704,86090090,0,i,I,211.03492956538457,54.36950376805969,37.7961311340332,26.4449520111084,260.64251708984375,14.683265686035156,2.1564228534698486,73.06031799316406,6,3.557670130716062e-11,3.081033692065027e-11,40.0,3.0,12.0,2.1521631257357123,11.0,2.0,8.0,8.0,2.0,12.0
2023ixf,20230704,86090091,0,i,I,210.90089447308787,54.309456610408226,38.0445671081543,27.073497772216797,262.8044738769531,14.628913879394531,2.029559373855591,64.90133666992188,6,0.019659938290715218,0.00645167101174593,40.0,7.0,11.0,2.033126197487997,9.0,10.0,12.0,12.0,3.0,10.0
2023ixf,20230704,86090092,0,i,I,210.90085937839234,54.3094412165894,38.22114562988281,27.006269454956055,264.53662109375,14.740711212158203,2.134188413619995,69.38221740722656,8,0.02944125235080719,0.012472664937376976,40.0,8.0,8.0,2.135175777544472,10.0,12.0,12.0,12.0,2.0,10.0
2023ixf,20230704,86090093,0,i,I,210.90080536811186,54.309444257035146,38.397891998291016,27.0028018951416,263.5939636230469,14.813253402709961,2.3580260276794434,87.26428985595703,8,0.03344184160232544,0.01597399078309536,40.0,8.0,24.0,2.3562345395041833,10.0,11.0,11.0,11.0,2.0,11.0
2023ixf,20230704,86090094,0,i,I,210.900841415654,54.30947836545014,38.5745849609375,26.988073348999023,264.41375732421875,14.56640338897705,2.325606107711792,77.35680389404297,7,0.01611356995999813,0.009799357503652573,40.0,8.0,16.0,2.325361121242674,10.0,11.0,11.0,11.0,3.0,11.0
2023ixf,20230707,86121102,0,r,R,210.9117411223712,54.3128954589091,27.73093032836914,25.926044464111328,33.841400146484375,7.981012344360352,2.0005970001220703,64.94258117675781,8,0.015512131154537201,0.011644002050161362,10.0,7.0,8.0,2.0058455796137182,8.0,9.0,8.0,8.0,0.0,11.0
2023ixf,20230707,86121103,0,r,R,210.9122789467089,54.305287435343914,30.345857620239258,25.89912223815918,30.46642303466797,7.794663429260254,2.3761937618255615,82.94699096679688,8,0.04709792137145996,0.02508532628417015,10.0,8.0,4.0,2.378585120065832,10.0,11.0,8.0,8.0,0.0,11.0
2023ixf,20230707,86121112,0,r,R,210.9122540369121,54.30553348768085,35.13565444946289,27.389598846435547,106.37197875976562,11.201451301574707,2.8939878940582275,118.62489318847656,9,0.011617638170719147,0.0019824954215437174,40.0,8.0,13.0,2.8961301595228095,12.0,15.0,10.0,10.0,3.0,17.0
2023ixf,20230707,86121113,0,r,R,210.91229704566433,54.30550328282594,35.32659912109375,27.38158416748047,106.01162719726562,11.125336647033691,2.9585978984832764,126.28092956542969,6,0.01607796549797058,0.010831867344677448,40.0,8.0,29.0,2.969933605805496,9.0,11.0,8.0,8.0,1.0,12.0
2023ixf,20230707,86121114,0,r,R,210.91221479167544,54.30550221276993,35.706329345703125,27.256484985351562,106.172607421875,11.175759315490723,2.7820465564727783,81.79637908935547,1,0.05698980391025543,0.019861368462443352,40.0,6.0,15.0,2.818534417657419,7.0,6.0,4.0,4.0,3.0,9.0
2023ixf,20230707,86121115,0,r,R,210.91236896623067,54.305499164071755,35.92152404785156,27.383342742919922,106.55215454101562,11.132810592651367,3.0573811531066895,142.1243438720703,7,0.01412281859666109,0.005761570297181606,40.0,7.0,17.0,3.055494122171027,10.0,13.0,9.0,9.0,1.0,14.0
2023ixf,20230707,86121116,0,r,R,210.91223775590808,54.30548612842959,36.11799240112305,27.403121948242188,107.32381439208984,11.133954048156738,2.7915432453155518,116.43248748779297,7,0.010912124998867512,0.008340624161064625,40.0,7.0,13.0,2.7891405395826383,11.0,15.0,9.0,9.0,4.0,16.0
2023ixf,20230707,86121117,0,i,I,210.9125028476978,54.30558293542414,36.633758544921875,27.0386905670166,126.2629165649414,11.53365707397461,2.932805061340332,124.20350646972656,10,0.012367471121251583,0.005736375227570534,40.0,8.0,14.0,2.925638353956479,13.0,14.0,12.0,12.0,1.0,16.0
2023ixf,20230707,86121118,0,i,I,210.9123639788757,54.30551908805233,36.81535339355469,27.010807037353516,127.54362487792969,11.741758346557617,2.523768901824951,96.63137817382812,11,0.04096769168972969,0.01456997450441122,40.0,8.0,10.0,2.516864122685222,13.0,14.0,15.0,14.0,1.0,14.0
2023ixf,20230707,86121119,0,i,I,210.9124348151726,54.30556098630147,36.99467086791992,27.03398895263672,128.8572998046875,11.823431968688965,2.781614303588867,115.67402648925781,10,0.025303363800048828,0.02191767282783985,40.0,10.0,21.0,2.7736859970852756,13.0,14.0,14.0,13.0,1.0,15.0
2023ixf,20230707,86121120,0,i,I,210.9123929627914,54.30557860068445,37.218650817871094,27.011011123657227,130.4653778076172,11.737492561340332,2.638808250427246,101.73355865478516,11,0.026917383074760437,0.016132187098264694,40.0,8.0,17.0,2.6334739603394475,13.0,15.0,13.0,13.0,3.0,16.0
2023ixf,20230707,86121121,0,i,I,210.91234939738715,54.30551428374088,37.459449768066406,27.010915756225586,129.93675231933594,11.76599407196045,2.7692947387695312,110.05132293701172,11,0.017267953604459763,0.018952490761876106,40.0,8.0,16.0,2.763630925848829,13.0,14.0,14.0,14.0,3.0,17.0
2023ixf,20230710,86161104,0,r,R,210.91401609376894,54.31288266154571,27.255939483642578,25.892187118530273,29.857643127441406,7.698390007019043,2.5295867919921875,102.5182113647461,6,0.03414078429341316,0.0339462012052536,10.0,7.0,7.0,2.531375367534357,8.0,9.0,6.0,6.0,0.0,9.0
2023ixf,20230710,86161113,0,r,R,210.91258994161134,54.31312364699114,30.57019805908203,27.416658401489258,112.21503448486328,11.110956192016602,2.8190925121307373,120.64938354492188,9,0.0356970876455307,0.014115274883806705,40.0,9.0,21.0,2.8264279420109664,11.0,13.0,11.0,11.0,1.0,15.0
2023ixf,20230710,86161114,0,r,R,210.9127621641488,54.31306477838408,30.918519973754883,27.409940719604492,111.51524353027344,11.109162330627441,3.164705276489258,158.16668701171875,8,0.03812163323163986,0.014880922622978687,40.0,9.0,14.0,3.1771693939204373,11.0,13.0,10.0,10.0,4.0,14.0
2023ixf,20230710,86161115,0,r,R,210.91300466791725,54.31299999407473,31.288434982299805,27.374526977539062,111.34557342529297,11.061991691589355,2.7769389152526855,117.34355163574219,11,0.0625838041305542,0.013852539472281933,40.0,4.0,14.0,2.77518340961114,12.0,13.0,17.0,17.0,5.0,15.0
